source,relation,target
HR_Agent,manages,Employee_Record_001
HR_Agent,manages,Employee_Record_002
HR_Agent,manages,Employee_Record_003
HR_Agent,manages,Employee_Record_004
HR_Agent,manages,Employee_Record_005
HR_Agent,oversees,Recruitment_Process_001
HR_Agent,oversees,Recruitment_Process_002
HR_Agent,oversees,Recruitment_Process_003
HR_Agent,coordinates,Onboarding_Process_001
HR_Agent,coordinates,Onboarding_Process_002
HR_Agent,coordinates,Onboarding_Process_003
HR_Agent,tracks,Attendance_Record_001
HR_Agent,tracks,Attendance_Record_002
HR_Agent,tracks,Attendance_Record_003
HR_Agent,monitors,Performance_Metric_001
HR_Agent,monitors,Performance_Metric_002
HR_Agent,monitors,Performance_Metric_003
HR_Agent,updates,HR_Policy_001
HR_Agent,updates,HR_Policy_002
HR_Agent,updates,HR_Policy_003
HR_Agent,audits,Compliance_File_001
HR_Agent,audits,Compliance_File_002
HR_Agent,audits,Compliance_File_003
HR_Agent,validates,Training_Certificate_001
HR_Agent,validates,Training_Certificate_002
HR_Agent,validates,Training_Certificate_003
HR_Agent,handles,Conflict_Case_001
HR_Agent,handles,Conflict_Case_002
HR_Agent,handles,Conflict_Case_003
HR_Agent,processes,Payroll_Run_001
HR_Agent,processes,Payroll_Run_002
HR_Agent,processes,Payroll_Run_003
HR_Agent,reviews,Promotion_Request_001
HR_Agent,reviews,Promotion_Request_002
HR_Agent,reviews,Promotion_Request_003
Software_Developer_Agent,develops,Software_Module_001
Software_Developer_Agent,develops,Software_Module_002
Software_Developer_Agent,develops,Software_Module_003
Software_Developer_Agent,codes,Feature_001
Software_Developer_Agent,codes,Feature_002
Software_Developer_Agent,codes,Feature_003
Software_Developer_Agent,reviews,Code_Submission_001
Software_Developer_Agent,reviews,Code_Submission_002
Software_Developer_Agent,reviews,Code_Submission_003
Software_Developer_Agent,debugs,Bug_Ticket_001
Software_Developer_Agent,debugs,Bug_Ticket_002
Software_Developer_Agent,debugs,Bug_Ticket_003
Software_Developer_Agent,integrates,API_Endpoint_001
Software_Developer_Agent,integrates,API_Endpoint_002
Software_Developer_Agent,integrates,API_Endpoint_003
Software_Developer_Agent,tests,Test_Case_001
Software_Developer_Agent,tests,Test_Case_002
Software_Developer_Agent,tests,Test_Case_003
Software_Developer_Agent,deploys,Deployment_Bundle_001
Software_Developer_Agent,deploys,Deployment_Bundle_002
Software_Developer_Agent,deploys,Deployment_Bundle_003
Software_Developer_Agent,documents,Tech_Doc_001
Software_Developer_Agent,documents,Tech_Doc_002
Software_Developer_Agent,documents,Tech_Doc_003
Software_Developer_Agent,follows,Coding_Standard_001
Software_Developer_Agent,follows,Coding_Standard_002
Software_Developer_Agent,follows,Coding_Standard_003
Sales_Agent,sells,Product_001
Sales_Agent,sells,Product_002
Sales_Agent,sells,Product_003
Sales_Agent,contacts,Client_001
Sales_Agent,contacts,Client_002
Sales_Agent,contacts,Client_003
Sales_Agent,negotiates_with,Client_001
Sales_Agent,negotiates_with,Client_002
Sales_Agent,negotiates_with,Client_003
Sales_Agent,collects,Customer_Feedback_001
Sales_Agent,collects,Customer_Feedback_002
Sales_Agent,collects,Customer_Feedback_003
Sales_Agent,prepares,Sales_Report_001
Sales_Agent,prepares,Sales_Report_002
Sales_Agent,prepares,Sales_Report_003
Sales_Agent,updates,CRM_Record_001
Sales_Agent,updates,CRM_Record_002
Sales_Agent,updates,CRM_Record_003
Sales_Agent,follows,Sales_Strategy_001
Sales_Agent,follows,Sales_Strategy_002
Sales_Agent,follows,Sales_Strategy_003
Sales_Agent,reports_to,HR_Agent
Sales_Agent,collaborates_with,Software_Developer_Agent
